hgnc_symbol	ensembl_gene_id	Exists_in_GTEx_v8_mtDNA_trans_tests
COX7A2L	ENSG00000115944	Yes
COX7B	ENSG00000131174	No
COX7B2	ENSG00000170516	No
COX7C	ENSG00000127184	Yes
COX8A	ENSG00000176340	Yes
COX8C	ENSG00000187581	Yes
CPOX	ENSG00000080819	Yes
CPS1	ENSG00000021826	Yes
CPT1A	ENSG00000110090	Yes
CPT1B	ENSG00000205560	Yes
CPT1C	ENSG00000169169	Yes
CPT2	ENSG00000157184	Yes
CRAT	ENSG00000095321	Yes
CRLS1	ENSG00000088766	Yes
CROT	ENSG00000005469	Yes
CS	ENSG00000062485	Yes
CYB5B	ENSG00000103018	Yes
CYB5R3	ENSG00000100243	Yes
CYC1	ENSG00000179091	Yes
CYCS	ENSG00000172115	Yes
CYP11A1	ENSG00000140459	Yes
CYP11B1	ENSG00000160882	Yes
CYP11B2	ENSG00000179142	No
CYP24A1	ENSG00000019186	Yes
CYP27A1	ENSG00000135929	Yes
CYP27B1	ENSG00000111012	Yes
D2HGDH	ENSG00000180902	Yes
DBI	ENSG00000155368	Yes
DBT	ENSG00000137992	Yes
DCXR	ENSG00000169738	Yes
DECR1	ENSG00000104325	Yes
DGLUCY	ENSG00000133943	Yes
DGUOK	ENSG00000114956	Yes
DHODH	ENSG00000102967	Yes
DHRS1	ENSG00000157379	Yes
DHRS2	ENSG00000100867	Yes
DHRS4	ENSG00000157326	Yes
DHTKD1	ENSG00000181192	Yes
DLAT	ENSG00000150768	Yes
DLD	ENSG00000091140	Yes
DLST	ENSG00000119689	Yes
DMAC1	ENSG00000137038	Yes
DMAC2	ENSG00000105341	Yes
DMAC2L	ENSG00000125375	Yes
DMGDH	ENSG00000132837	Yes
DNA2	ENSG00000138346	Yes
DTYMK	ENSG00000168393	Yes
DUT	ENSG00000128951	Yes
ECH1	ENSG00000104823	Yes
ECHDC1	ENSG00000093144	Yes
ECHS1	ENSG00000127884	Yes
ECI1	ENSG00000167969	Yes
ECI2	ENSG00000198721	Yes
ECSIT	ENSG00000130159	Yes
EHHADH	ENSG00000113790	Yes
EPHX2	ENSG00000120915	Yes
ETFA	ENSG00000140374	Yes
ETFB	ENSG00000105379	Yes
ETFBKMT	ENSG00000139160	Yes
ETFDH	ENSG00000171503	Yes
ETFRF1	ENSG00000205707	Yes
ETHE1	ENSG00000105755	Yes
FABP1	ENSG00000163586	Yes
FAHD1	ENSG00000180185	Yes
FAM210B	ENSG00000124098	Yes
FASN	ENSG00000169710	Yes
FDPS	ENSG00000160752	Yes
FDX1	ENSG00000137714	Yes
FDX2	ENSG00000267673	Yes
FDXR	ENSG00000161513	Yes
FECH	ENSG00000066926	Yes
FH	ENSG00000091483	Yes
FHIT	ENSG00000189283	Yes
FLAD1	ENSG00000160688	Yes
FMC1	ENSG00000164898	Yes
FOXRED1	ENSG00000110074	Yes
FPGS	ENSG00000136877	Yes
FTH1	ENSG00000167996	Yes
FTMT	ENSG00000181867	No
FXN	ENSG00000165060	Yes
GATM	ENSG00000171766	Yes
GCAT	ENSG00000100116	Yes
GCDH	ENSG00000105607	Yes
GCSH	ENSG00000140905	Yes
GLDC	ENSG00000178445	Yes
GLRX2	ENSG00000023572	Yes
GLRX5	ENSG00000182512	Yes
GLS	ENSG00000115419	Yes
GLS2	ENSG00000135423	Yes
GLUD1	ENSG00000148672	Yes
GLUD2	ENSG00000182890	No
GLYAT	ENSG00000149124	No
GLYCTK	ENSG00000168237	Yes
GOT2	ENSG00000125166	Yes
GPAM	ENSG00000119927	Yes
GPAT2	ENSG00000186281	Yes
GPD2	ENSG00000115159	Yes
GPT2	ENSG00000166123	Yes
GPX1	ENSG00000233276	Yes
GPX4	ENSG00000167468	Yes
GRHPR	ENSG00000137106	Yes
GRPEL1	ENSG00000109519	Yes
GRPEL2	ENSG00000164284	Yes
GSR	ENSG00000104687	Yes
GSTK1	ENSG00000197448	Yes
GSTZ1	ENSG00000100577	Yes
GTPBP3	ENSG00000130299	Yes
GUK1	ENSG00000143774	Yes
HADH	ENSG00000138796	Yes
HADHA	ENSG00000084754	Yes
HADHB	ENSG00000138029	Yes
HAGH	ENSG00000063854	Yes
HAO2	ENSG00000116882	Yes
HCCS	ENSG00000004961	No
HIBADH	ENSG00000106049	Yes
HIBCH	ENSG00000198130	Yes
HIGD1A	ENSG00000181061	Yes
HIGD2A	ENSG00000146066	Yes
HINT1	ENSG00000169567	Yes
HINT2	ENSG00000137133	Yes
HMGCL	ENSG00000117305	Yes
HMGCS2	ENSG00000134240	Yes
HOGA1	ENSG00000241935	Yes
HSCB	ENSG00000100209	Yes
HSD17B10	ENSG00000072506	No
HSD17B4	ENSG00000133835	Yes
HSD17B8	ENSG00000204228	Yes
HSPA9	ENSG00000113013	Yes
HTD2	ENSG00000255154	No
IBA57	ENSG00000181873	Yes
IDH2	ENSG00000182054	Yes
IDH3A	ENSG00000166411	Yes
IDH3B	ENSG00000101365	Yes
IDH3G	ENSG00000067829	No
IDI1	ENSG00000067064	Yes
ISCA1	ENSG00000135070	Yes
ISCA2	ENSG00000165898	Yes
ISCU	ENSG00000136003	Yes
IVD	ENSG00000128928	Yes
KMO	ENSG00000117009	Yes
KYAT3	ENSG00000137944	Yes
L2HGDH	ENSG00000087299	Yes
LACTB	ENSG00000103642	Yes
LDHAL6B	ENSG00000171989	Yes
LDHB	ENSG00000111716	Yes
LDHD	ENSG00000166816	Yes
LIAS	ENSG00000121897	Yes
LIPT1	ENSG00000144182	Yes
LIPT2	ENSG00000175536	Yes
LYPLA1	ENSG00000120992	Yes
LYPLAL1	ENSG00000143353	Yes
LYRM2	ENSG00000083099	Yes
LYRM4	ENSG00000214113	Yes
LYRM7	ENSG00000186687	Yes
MAOA	ENSG00000189221	No
MAOB	ENSG00000069535	No
MCAT	ENSG00000100294	Yes
MCCC1	ENSG00000078070	Yes
MCCC2	ENSG00000131844	Yes
MCEE	ENSG00000124370	Yes
MDH2	ENSG00000146701	Yes
ME2	ENSG00000082212	Yes
ME3	ENSG00000151376	Yes
MECR	ENSG00000116353	Yes
MGST1	ENSG00000008394	Yes
MGST3	ENSG00000143198	Yes
MLYCD	ENSG00000103150	Yes
MMAA	ENSG00000151611	Yes
MMAB	ENSG00000139428	Yes
MMADHC	ENSG00000168288	Yes
MMUT	ENSG00000146085	Yes
MOCS1	ENSG00000124615	Yes
MPC1	ENSG00000060762	Yes
MPC1L	ENSG00000238205	No
MPC2	ENSG00000143158	Yes
MPST	ENSG00000128309	Yes
MRPS36	NA	NA
MSRA	ENSG00000175806	Yes
MSRB2	ENSG00000148450	Yes
MSRB3	ENSG00000174099	Yes
MT-ATP6	ENSG00000198899	No
MT-ATP8	ENSG00000228253	No
MT-CO1	ENSG00000198804	No
MT-CO2	ENSG00000198712	No
MT-CO3	ENSG00000198938	No
MT-CYB	ENSG00000198727	No
MT-ND1	ENSG00000198888	No
MT-ND2	ENSG00000198763	No
MT-ND3	ENSG00000198840	No
MT-ND4	ENSG00000198886	No
MT-ND4L	ENSG00000212907	No
MT-ND5	ENSG00000198786	No
MT-ND6	ENSG00000198695	No
MTARC1	ENSG00000186205	Yes
MTARC2	ENSG00000117791	Yes
MTFMT	ENSG00000103707	Yes
MTHFD1L	ENSG00000120254	Yes
MTHFD2	ENSG00000065911	Yes
MTHFD2L	ENSG00000163738	Yes
MTHFS	ENSG00000136371	Yes
MTO1	ENSG00000135297	Yes
NADK2	ENSG00000152620	Yes
NAGS	ENSG00000161653	Yes
NAT8L	ENSG00000185818	Yes
NAXD	ENSG00000213995	Yes
NAXE	ENSG00000163382	Yes
NDUFA1	ENSG00000125356	No
NDUFA10	ENSG00000130414	Yes
NDUFA11	ENSG00000174886	Yes
NDUFA12	ENSG00000184752	Yes
NDUFA13	ENSG00000186010	Yes
NDUFA2	ENSG00000131495	Yes
NDUFA3	ENSG00000170906	Yes
NDUFA4	ENSG00000189043	Yes
NDUFA5	ENSG00000128609	Yes
NDUFA6	ENSG00000184983	Yes
NDUFA7	ENSG00000267855	Yes
NDUFA8	ENSG00000119421	Yes
NDUFA9	ENSG00000139180	Yes
NDUFAB1	ENSG00000004779	Yes
NDUFAF1	ENSG00000137806	Yes
NDUFAF2	ENSG00000164182	Yes
NDUFAF3	ENSG00000178057	Yes
NDUFAF4	ENSG00000123545	Yes
NDUFAF5	ENSG00000101247	Yes
NDUFAF6	ENSG00000156170	Yes
NDUFAF7	ENSG00000003509	Yes
NDUFAF8	ENSG00000224877	Yes
NDUFB1	ENSG00000183648	Yes
NDUFB10	ENSG00000140990	Yes
NDUFB11	ENSG00000147123	No
NDUFB2	ENSG00000090266	Yes
NDUFB3	ENSG00000119013	Yes
NDUFB4	ENSG00000065518	Yes
NDUFB5	ENSG00000136521	Yes
NDUFB6	ENSG00000165264	Yes
NDUFB7	ENSG00000099795	Yes
NDUFB8	ENSG00000166136	Yes
NDUFB9	ENSG00000147684	Yes
NDUFC1	ENSG00000109390	Yes
NDUFC2	ENSG00000151366	Yes
NDUFS1	ENSG00000023228	Yes
NDUFS2	ENSG00000158864	Yes
NDUFS3	ENSG00000213619	Yes
NDUFS4	ENSG00000164258	Yes
NDUFS5	ENSG00000168653	Yes
NDUFS6	ENSG00000145494	Yes
NDUFS7	ENSG00000115286	Yes
NDUFS8	ENSG00000110717	Yes
NDUFV1	ENSG00000167792	Yes
NDUFV2	ENSG00000178127	Yes
NDUFV3	ENSG00000160194	Yes
NEU4	ENSG00000204099	Yes
NFS1	ENSG00000244005	Yes
NFU1	ENSG00000169599	Yes
NIT1	ENSG00000158793	Yes
NIT2	ENSG00000114021	Yes
NME3	ENSG00000103024	Yes
NME4	ENSG00000103202	Yes
NME6	ENSG00000172113	Yes
NMNAT3	ENSG00000163864	Yes
NNT	ENSG00000112992	Yes
NOCT	ENSG00000151014	Yes
NT5DC2	ENSG00000168268	Yes
NT5M	ENSG00000205309	Yes
NTHL1	ENSG00000065057	Yes
NUBPL	ENSG00000151413	Yes
NUDT13	ENSG00000166321	Yes
NUDT19	ENSG00000213965	Yes
NUDT2	ENSG00000164978	Yes
NUDT5	ENSG00000165609	Yes
NUDT8	ENSG00000167799	Yes
NUDT9	ENSG00000170502	Yes
OAT	ENSG00000065154	Yes
OGDH	ENSG00000105953	Yes
OGDHL	ENSG00000197444	Yes
OSBPL1A	ENSG00000141447	Yes
OTC	ENSG00000036473	No
OXCT1	ENSG00000083720	Yes
OXCT2	ENSG00000198754	Yes
OXR1	ENSG00000164830	Yes
OXSM	ENSG00000151093	Yes
PAICS	ENSG00000128050	Yes
PANK2	ENSG00000125779	Yes
PC	ENSG00000173599	Yes
PCBD2	ENSG00000132570	No
PCCA	ENSG00000175198	Yes
PCCB	ENSG00000114054	Yes
PCK2	ENSG00000100889	Yes
PDHA1	ENSG00000131828	No
PDHA2	ENSG00000163114	No
PDHB	ENSG00000168291	Yes
PDHX	ENSG00000110435	Yes
PDK1	ENSG00000152256	Yes
PDK2	ENSG00000005882	Yes
PDK3	ENSG00000067992	No
PDK4	ENSG00000004799	Yes
PDP1	ENSG00000164951	Yes
PDP2	ENSG00000172840	Yes
PDPR	ENSG00000090857	Yes
PDSS1	ENSG00000148459	Yes
PDSS2	ENSG00000164494	Yes
PET100	ENSG00000229833	Yes
PET117	ENSG00000232838	Yes
PGS1	ENSG00000087157	Yes
PHYH	ENSG00000107537	Yes
PISD	ENSG00000241878	Yes
PLD6	ENSG00000179598	Yes
PLPBP	ENSG00000147471	Yes
PLSCR3	ENSG00000187838	Yes
PNKD	ENSG00000127838	Yes
PNPLA8	ENSG00000135241	Yes
PNPO	ENSG00000108439	Yes
PPA2	ENSG00000138777	Yes
PPM1K	ENSG00000163644	Yes
PPOX	ENSG00000143224	Yes
PRDX2	ENSG00000167815	Yes
PRDX3	ENSG00000165672	Yes
PRDX4	ENSG00000123131	No
PRDX5	ENSG00000126432	Yes
PRDX6	ENSG00000117592	Yes
PRELID1	ENSG00000169230	Yes
PRELID3A	ENSG00000141391	Yes
PRELID3B	ENSG00000101166	Yes
PRODH	ENSG00000100033	Yes
PRODH2	ENSG00000250799	No
PRXL2A	ENSG00000122378	Yes
PTGES2	ENSG00000148334	Yes
PTPMT1	ENSG00000110536	Yes
PYCR1	ENSG00000183010	Yes
PYCR2	ENSG00000143811	Yes
QDPR	ENSG00000151552	Yes
RAB5IF	ENSG00000101084	Yes
RDH13	ENSG00000160439	Yes
RDH14	ENSG00000240857	Yes
RFK	ENSG00000135002	Yes
RPIA	ENSG00000153574	Yes
RSAD1	ENSG00000136444	Yes
SARDH	ENSG00000123453	Yes
SCO1	ENSG00000133028	Yes
SCO2	ENSG00000284194	No
SCP2	ENSG00000116171	Yes
SDHA	ENSG00000073578	Yes
SDHAF1	ENSG00000205138	Yes
SDHAF2	ENSG00000167985	Yes
SDHAF3	ENSG00000196636	Yes
SDHAF4	ENSG00000154079	Yes
SDHB	ENSG00000117118	Yes
SDHC	ENSG00000143252	Yes
SDHD	ENSG00000204370	Yes
SDSL	ENSG00000139410	Yes
SELENOO	ENSG00000073169	Yes
SERAC1	ENSG00000122335	Yes
SFXN1	ENSG00000164466	Yes
SFXN3	ENSG00000107819	Yes
SFXN5	ENSG00000144040	Yes
SHMT2	ENSG00000182199	Yes
SIRT3	ENSG00000142082	Yes
SIRT4	ENSG00000089163	Yes
SIRT5	ENSG00000124523	Yes
SLC25A1	ENSG00000100075	Yes
SLC25A10	ENSG00000183048	Yes
SLC25A11	ENSG00000108528	Yes
SLC25A12	ENSG00000115840	Yes
SLC25A13	ENSG00000004864	Yes
SLC25A14	ENSG00000102078	No
SLC25A15	ENSG00000102743	Yes
SLC25A19	ENSG00000125454	Yes
SLC25A20	ENSG00000178537	Yes
SLC25A21	ENSG00000183032	Yes
SLC25A23	ENSG00000125648	Yes
SLC25A24	ENSG00000085491	Yes
SLC25A25	ENSG00000148339	Yes
SLC25A28	ENSG00000155287	Yes
SLC25A29	ENSG00000197119	Yes
SLC25A3	ENSG00000075415	Yes
SLC25A30	ENSG00000174032	Yes
SLC25A31	ENSG00000151475	Yes
SLC25A32	ENSG00000164933	Yes
SLC25A33	ENSG00000171612	Yes
SLC25A36	ENSG00000114120	Yes
SLC25A37	ENSG00000147454	Yes
SLC25A38	ENSG00000144659	Yes
SLC25A4	ENSG00000151729	Yes
SLC25A41	ENSG00000181240	Yes
SLC25A42	ENSG00000181035	Yes
SLC25A44	ENSG00000160785	Yes
SLC25A5	ENSG00000005022	No
SLC25A51	ENSG00000122696	Yes
SLC25A52	ENSG00000141437	Yes
SLC25A6	ENSG00000169100	No
SMIM20	ENSG00000250317	Yes
SOD1	ENSG00000142168	Yes
SOD2	ENSG00000291237	No
SPHK2	ENSG00000063176	Yes
SPR	ENSG00000116096	Yes
SPTLC2	ENSG00000100596	Yes
SQOR	ENSG00000137767	Yes
STAR	ENSG00000147465	Yes
STARD7	ENSG00000084090	Yes
SUCLA2	ENSG00000136143	Yes
SUCLG1	ENSG00000163541	Yes
SUCLG2	ENSG00000172340	Yes
SUGCT	ENSG00000175600	Yes
SUOX	ENSG00000139531	Yes
SURF1	ENSG00000148290	Yes
TACO1	ENSG00000136463	Yes
TAMM41	ENSG00000144559	Yes
TAZ	NA	NA
THEM4	ENSG00000159445	Yes
THEM5	ENSG00000196407	Yes
TIMM21	ENSG00000075336	Yes
TIMMDC1	ENSG00000113845	Yes
TK2	ENSG00000166548	Yes
TMEM126A	ENSG00000171202	Yes
TMEM126B	ENSG00000171204	Yes
TMEM177	ENSG00000144120	Yes
TMEM186	ENSG00000184857	Yes
TMEM70	ENSG00000175606	Yes
TMLHE	ENSG00000185973	No
TRIAP1	ENSG00000170855	Yes
TSPO	ENSG00000100300	Yes
TST	ENSG00000128311	Yes
TSTD1	ENSG00000215845	Yes
TTC19	ENSG00000011295	Yes
TXN2	ENSG00000100348	Yes
TXNRD1	ENSG00000198431	Yes
TXNRD2	ENSG00000184470	Yes
UQCC1	ENSG00000101019	Yes
UQCC2	ENSG00000137288	Yes
UQCC3	ENSG00000204922	Yes
UQCR10	ENSG00000184076	Yes
UQCR11	ENSG00000127540	Yes
UQCRB	ENSG00000156467	Yes
UQCRC1	ENSG00000010256	Yes
UQCRC2	ENSG00000140740	Yes
UQCRFS1	ENSG00000169021	Yes
UQCRH	ENSG00000173660	Yes
UQCRQ	ENSG00000164405	Yes
ZADH2	NA	NA
