hgnc_symbol	ensembl_gene_id	Exists_in_GTEx_v8_mtDNA_trans_tests
DMAC2L	ENSG00000125375	Yes
DNAJA3	ENSG00000103423	Yes
DNAJC11	ENSG00000007923	Yes
DNAJC15	ENSG00000120675	Yes
DNAJC19	ENSG00000205981	Yes
DNAJC4	ENSG00000110011	Yes
DNLZ	ENSG00000213221	Yes
ECSIT	ENSG00000130159	Yes
FKBP10	ENSG00000141756	Yes
FMC1	ENSG00000164898	Yes
FOXRED1	ENSG00000110074	Yes
GFER	ENSG00000127554	Yes
GRPEL1	ENSG00000109519	Yes
GRPEL2	ENSG00000164284	Yes
HCCS	ENSG00000004961	No
HIGD1A	ENSG00000181061	Yes
HIGD2A	ENSG00000146066	Yes
HSPD1	ENSG00000144381	Yes
HSPE1	ENSG00000115541	Yes
HTRA2	ENSG00000115317	Yes
IDE	ENSG00000119912	Yes
IMMP1L	ENSG00000148950	Yes
IMMP2L	ENSG00000184903	Yes
LACTB	ENSG00000103642	Yes
LAP3	ENSG00000002549	Yes
LONP1	ENSG00000196365	Yes
LYRM2	ENSG00000083099	Yes
LYRM7	ENSG00000186687	Yes
MAIP1	ENSG00000162972	Yes
METAP1D	ENSG00000172878	Yes
MIPEP	ENSG00000027001	Yes
MT-ATP6	ENSG00000198899	No
MT-ATP8	ENSG00000228253	No
MT-CO1	ENSG00000198804	No
MT-CO2	ENSG00000198712	No
MT-CO3	ENSG00000198938	No
MT-CYB	ENSG00000198727	No
MT-ND1	ENSG00000198888	No
MT-ND2	ENSG00000198763	No
MT-ND3	ENSG00000198840	No
MT-ND4	ENSG00000198886	No
MT-ND4L	ENSG00000212907	No
MT-ND5	ENSG00000198786	No
MT-ND6	ENSG00000198695	No
MTX1	ENSG00000173171	Yes
MTX2	ENSG00000128654	Yes
MUL1	ENSG00000090432	Yes
NDUFA1	ENSG00000125356	No
NDUFA10	ENSG00000130414	Yes
NDUFA11	ENSG00000174886	Yes
NDUFA12	ENSG00000184752	Yes
NDUFA13	ENSG00000186010	Yes
NDUFA2	ENSG00000131495	Yes
NDUFA3	ENSG00000170906	Yes
NDUFA4	ENSG00000189043	Yes
NDUFA5	ENSG00000128609	Yes
NDUFA6	ENSG00000184983	Yes
NDUFA7	ENSG00000267855	Yes
NDUFA8	ENSG00000119421	Yes
NDUFA9	ENSG00000139180	Yes
NDUFAB1	ENSG00000004779	Yes
NDUFAF1	ENSG00000137806	Yes
NDUFAF2	ENSG00000164182	Yes
NDUFAF3	ENSG00000178057	Yes
NDUFAF4	ENSG00000123545	Yes
NDUFAF5	ENSG00000101247	Yes
NDUFAF6	ENSG00000156170	Yes
NDUFAF7	ENSG00000003509	Yes
NDUFAF8	ENSG00000224877	Yes
NDUFB1	ENSG00000183648	Yes
NDUFB10	ENSG00000140990	Yes
NDUFB11	ENSG00000147123	No
NDUFB2	ENSG00000090266	Yes
NDUFB3	ENSG00000119013	Yes
NDUFB4	ENSG00000065518	Yes
NDUFB5	ENSG00000136521	Yes
NDUFB6	ENSG00000165264	Yes
NDUFB7	ENSG00000099795	Yes
NDUFB8	ENSG00000166136	Yes
NDUFB9	ENSG00000147684	Yes
NDUFC1	ENSG00000109390	Yes
NDUFC2	ENSG00000151366	Yes
NDUFS1	ENSG00000023228	Yes
NDUFS2	ENSG00000158864	Yes
NDUFS3	ENSG00000213619	Yes
NDUFS4	ENSG00000164258	Yes
NDUFS5	ENSG00000168653	Yes
NDUFS6	ENSG00000145494	Yes
NDUFS7	ENSG00000115286	Yes
NDUFS8	ENSG00000110717	Yes
NDUFV1	ENSG00000167792	Yes
NDUFV2	ENSG00000178127	Yes
NDUFV3	ENSG00000160194	Yes
NLN	ENSG00000123213	Yes
NRDC	ENSG00000078618	Yes
NUBPL	ENSG00000151413	Yes
OMA1	ENSG00000162600	Yes
OXA1L	ENSG00000155463	Yes
PAM16	ENSG00000217930	Yes
PARK7	ENSG00000116288	Yes
PARL	ENSG00000175193	Yes
PDF	ENSG00000258429	Yes
PET100	ENSG00000229833	Yes
PET117	ENSG00000232838	Yes
PHB	NA	NA
PHB2	ENSG00000215021	Yes
PITRM1	ENSG00000107959	Yes
PMPCA	ENSG00000165688	Yes
PMPCB	ENSG00000105819	Yes
PNKD	ENSG00000127838	Yes
PRSS35	ENSG00000146250	Yes
RAB5IF	ENSG00000101084	Yes
ROMO1	ENSG00000125995	Yes
SAMM50	ENSG00000100347	Yes
SCO1	ENSG00000133028	Yes
SCO2	ENSG00000284194	No
SDHA	ENSG00000073578	Yes
SDHAF1	ENSG00000205138	Yes
SDHAF2	ENSG00000167985	Yes
SDHAF3	ENSG00000196636	Yes
SDHAF4	ENSG00000154079	Yes
SDHB	ENSG00000117118	Yes
SDHC	ENSG00000143252	Yes
SDHD	ENSG00000204370	Yes
SMIM20	ENSG00000250317	Yes
SPG7	ENSG00000197912	Yes
STOML2	ENSG00000165283	Yes
SURF1	ENSG00000148290	Yes
TACO1	ENSG00000136463	Yes
TIMM10	ENSG00000134809	Yes
TIMM10B	ENSG00000132286	Yes
TIMM13	ENSG00000099800	Yes
TIMM17A	ENSG00000134375	Yes
TIMM17B	ENSG00000126768	No
TIMM21	ENSG00000075336	Yes
TIMM22	ENSG00000177370	Yes
TIMM23	ENSG00000265354	Yes
TIMM29	ENSG00000142444	Yes
TIMM44	ENSG00000104980	Yes
TIMM50	ENSG00000105197	Yes
TIMM8A	ENSG00000126953	No
TIMM8B	ENSG00000150779	Yes
TIMM9	ENSG00000100575	Yes
TIMMDC1	ENSG00000113845	Yes
TMEM126A	ENSG00000171202	Yes
TMEM126B	ENSG00000171204	Yes
TMEM177	ENSG00000144120	Yes
TMEM186	ENSG00000184857	Yes
TMEM70	ENSG00000175606	Yes
TOMM20	ENSG00000173726	Yes
TOMM20L	ENSG00000196860	Yes
TOMM22	ENSG00000100216	Yes
TOMM34	ENSG00000025772	Yes
TOMM40	ENSG00000130204	Yes
TOMM40L	ENSG00000158882	Yes
TOMM5	ENSG00000175768	Yes
TOMM6	ENSG00000214736	Yes
TOMM7	ENSG00000196683	Yes
TOMM70	ENSG00000154174	Yes
TRAP1	ENSG00000126602	Yes
TTC19	ENSG00000011295	Yes
UQCC1	ENSG00000101019	Yes
UQCC2	ENSG00000137288	Yes
UQCC3	ENSG00000204922	Yes
UQCR10	ENSG00000184076	Yes
UQCR11	ENSG00000127540	Yes
UQCRB	ENSG00000156467	Yes
UQCRC1	ENSG00000010256	Yes
UQCRC2	ENSG00000140740	Yes
UQCRFS1	ENSG00000169021	Yes
UQCRH	ENSG00000173660	Yes
UQCRQ	ENSG00000164405	Yes
USP30	ENSG00000135093	Yes
XPNPEP3	ENSG00000196236	Yes
YME1L1	ENSG00000136758	Yes
